epoch,classification_loss,depthsification_loss,loss,lr,mAP,regression_loss
0,0.11288444343537221,0.022690259238934134,0.20805311685379466,1e-05,0.0,0.07247841931919363
1,0.129330338137444,0.020230113578472226,0.23437308386025038,1e-05,0.0,0.08481263349400485
2,0.10768262405444172,0.031658125752433736,0.2168320851784743,1e-05,0.0,0.07749133569034025
3,0.1504282297107097,0.03153309728053802,0.27544421395523483,1e-06,0.0,0.09348288831863812
4,0.17238637637805718,0.032905696069493014,0.30925188002580534,1e-06,0.0,0.10395980773762585
5,0.10774159236143974,0.012667522750755045,0.1838760522190744,1e-07,0.0,0.06346693650923949
6,0.2800250834113149,0.055923576182860105,0.5131814100316514,1e-07,0.0,0.1772327461344673
7,0.21539773303129398,0.045065017148135184,0.40368115863270243,1e-07,0.0,0.1432184051064884
8,0.1714276912873981,0.05353608878857312,0.3408044037192802,1e-08,0.0,0.1158406339227197
9,0.1722996511524581,0.04181037309335515,0.3260952224031696,1e-08,0.0,0.11198519767924427
10,0.17238635248804438,0.03506606102069432,0.31536170324027823,1e-09,0.0,0.1079092930982457
11,0.17012802927559453,0.037669682008697386,0.3335316053462067,1e-09,0.0,0.12573388681054753
12,0.34270822219290176,0.10394426812118986,0.6760968643867011,9.9999994e-11,0.0,0.229444366087888
13,0.15022343893469764,0.03204985690069071,0.27902638739173213,9.9999994e-11,0.0,0.09675308982318735
14,0.23659100428146923,0.049646383632014304,0.4379298526096771,9.999999e-12,0.0,0.15169246693983435
15,0.2578002336485433,0.05764044853136501,0.4813662200982491,9.999999e-12,0.0,0.16592554612593216
16,0.08619333702748996,0.01485346440962929,0.15845911247343827,9.999999e-13,0.0,0.05741231326750893
17,0.19377494686140323,0.049110506387317884,0.36402183865831084,9.999999e-13,0.0,0.1211363893141721
18,0.25782090212487035,0.051950788786535196,0.47067058670244505,9.999999e-13,0.0,0.16089888881234563
19,0.17219437437409707,0.043523620714478316,0.3257979918943529,9.999999e-14,0.0,0.110080001188472
20,0.23598713097490046,0.051030174136799285,0.4419874615887966,9.999999e-14,0.0,0.15497015631772618
21,0.17233199086822437,0.03418457715642604,0.318950556004323,9.999999e-15,0.0,0.1124339894177442
22,0.21543373663030466,0.052146978397420385,0.4115637599134216,9.999999e-15,0.0,0.14398304408884302
23,0.23684844224565596,0.06503136352421765,0.45996319284768455,9.999999e-16,0.0,0.1580833904245958
24,0.17166233328291547,0.031122150427517408,0.3103582579602288,9.999999e-16,0.0,0.1075737718592353
25,0.19351720293474842,0.038878751908712844,0.3593255516669471,9.999999e-17,0.0,0.12692959933357442
26,0.10757485124477686,0.021903300667829053,0.20127428993145371,9.999999e-17,0.0,0.07179613801884778
27,0.21443506600291917,0.03347560213530127,0.3886844218086681,9.999999e-18,0.0,0.1407737598062199
28,0.21504678322969645,0.06322060230581518,0.42461172149443105,9.999999e-18,0.0,0.1463443378713679
29,0.23684462273137954,0.04329739228379041,0.43271570558807293,9.999999e-19,0.0,0.15257369388233533
30,0.3652056468696565,0.08141031167295606,0.6810128644523183,9.999999e-19,0.0,0.23439690008520442
31,0.10759987480796236,0.02753923538534399,0.2075554412346118,1e-19,0.0,0.07241633231627112
32,0.12927227630795896,0.031056773216329155,0.2402053965459112,1e-19,0.0,0.0798763451091746
